text,intent,language
online payment velai seyyavillai please help me quickly,Payment Failure,Tamil
ಸಾಧನೆ ಕೆಲಸ ಮಾಡುತ್ತಿಲ್ಲ can you check this issue,Product Defect,Kannada
ఉత్పత్తి నాణ్యత తక్కువగా ఉంది can you check this issue,Product Defect,Telugu
card payment agalilla this is urgent,Payment Failure,Kannada
सर्वर से कनेक्ट नहीं हो रहा this is urgent,Technical Support,Hindi
பொருளின் தரம் மோசமாக உள்ளது this is urgent,Product Defect,Tamil
त्रुटि संदेश आ रहा है I need support today,Technical Support,Hindi
अनधिकृत शुल्क लगाया गया this is urgent,Billing Dispute,Hindi
software install nahi ho raha this is urgent,Technical Support,Hindi
When will I get my refund,Refund Request,English
ಸಂಪೂರ್ಣ ಹಣ ಹಿಂದಿರುಗಿಸಿ I need support today,Refund Request,Kannada
naaku refund kavali can you check this issue,Refund Request,Telugu
ಪಾರ್ಸೆಲ್ ಯಾವಾಗ ಡೆಲಿವರ್ ಆಗುತ್ತೆ I need support today,Delivery Inquiry,Kannada
item defective agide,Product Defect,Kannada
రిఫండ్ ఇంకా రాలేదు can you check this issue,Refund Request,Telugu
ರಿಫಂಡ್ ಯಾವಾಗ ಬರುತ್ತೆ this is urgent,Refund Request,Kannada
मेरा ऑर्डर कहाँ है please help me quickly,Delivery Inquiry,Hindi
கடவுச்சொல் மறுநிர்ணயம் சாத்தியமில்லை,Account Recovery,Tamil
I was charged twice for the same order this is urgent,Billing Dispute,English
There is an incorrect amount on my bill,Billing Dispute,English
software install aagavillai this is urgent,Technical Support,Tamil
மென்பொருளைப் பதிக்க முடியவில்லை please help me quickly,Technical Support,Tamil
nanna payment fail agide I need support today,Payment Failure,Kannada
ರಿಫಂಡ್ ಇನ್ನೂ ಬಂದಿಲ್ಲ this is urgent,Refund Request,Kannada
app crash aaguthu please help me quickly,Technical Support,Tamil
ಪ್ರೋಡಕ್ಟ್ ಗುಣಮಾನ ಸುಂದರವಾಗಿಲ್ಲ,Product Defect,Kannada
పూర్తి మొత్తం రిఫండ్ కావాలి can you check this issue,Refund Request,Telugu
पूरा पैसा वापस चाहिए this is urgent,Refund Request,Hindi
shipment track aagavillai please help me quickly,Delivery Inquiry,Tamil
nanage eradu bari charge madalagide can you check this issue,Billing Dispute,Kannada
Please return my money this is urgent,Refund Request,English
వ్యతिcrമైన ఉత్పత్తి వచ్చింది I need support today,Product Defect,Telugu
ನನ್ನ ಆರ್ಡರ್ ಎಲ್ಲಿದೆ this is urgent,Delivery Inquiry,Kannada
ಹಾನಿಗ್ರಸ್ತ ಪ್ರೋಡಕ್ಟ್ ಬಂದಿದೆ this is urgent,Product Defect,Kannada
device kelasa maduttilla I need support today,Product Defect,Kannada
ಪ್ಯಾಕೇಜ್ ಇನ್ನೂ ಬಂದಿಲ್ಲ I need support today,Delivery Inquiry,Kannada
upi payment fail ayyindi please help me quickly,Payment Failure,Telugu
ಇನ್‌ವಾಯ್ಸ್ ತಪ್ಪಾಗಿದೆ,Billing Dispute,Kannada
ऐप क्रैश हो रहा है,Technical Support,Hindi
Net banking payment did not complete can you check this issue,Payment Failure,English
पार्सल कब डिलीवर होगा this is urgent,Delivery Inquiry,Hindi
There is an incorrect amount on my bill I need support today,Billing Dispute,English
account nundi ekkuva dabbu cut ayyindi I need support today,Billing Dispute,Telugu
எனக்கு இரண்டு முறை கட்டணம் விதிக்கப்பட்டுள்ளது please help me quickly,Billing Dispute,Tamil
ನನಗೆ ಎರಡು ಬಾರಿ ಚಾರ್ಜ್ ಮಾಡಲಾಗಿದೆ I need support today,Billing Dispute,Kannada
naa order ekkada undi please help me quickly,Delivery Inquiry,Telugu
item defective agide I need support today,Product Defect,Kannada
